month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
1,21161,09Q,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,0,0,0,0,0,0,581221,653989,1235210,0,0,0,0,0,0,1831212,1618745,3449957,2019
1,21352,0WQ,0WQ,Avjet Corporation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,21492,1BQ,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,0,0,0,0,0,0,35325,25496,60821,0,0,0,0,0,0,102795,74193,176988,2019
1,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,21712,2HQ,2HQ,Elite Airways LLC,1,66815,0,0,0,0,66815,410186,0,410186,175499,0,0,0,0,175499,1518919,0,1518919,2019
1,21974,3EQ,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,287034,0,0,0,0,287034,304851,0,304851,746126,0,0,0,0,746126,792440,0,792440,2019
1,19917,5X,5X,United Parcel Service,3,41673000,12332000,16238000,2967000,31537000,73210000,41673000,31537000,73210000,75938000,22394000,29385000,5845000,57624000,133562000,75938000,57624000,133562000,2019
1,20007,5Y,5Y,Atlas Air Inc.,3,0,0,0,0,0,0,14285985,30124140,44410125,0,0,0,0,0,0,30473337,61310144,91783481,2019
1,19874,8C,8C,Air Transport International,2,0,0,0,0,0,0,23622,742229,765851,0,0,0,0,0,0,43613,1910733,1954346,2019
1,20363,9E,9E,Endeavor Air Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,20190,9S,9S,Southern Air Inc.,2,879987,2095479,3874541,0,5970020,6850007,879987,5970020,6850007,1839813,4762196,7207014,0,11969210,13809023,1839813,11969210,13809023,2019
1,19805,AA,AA,American Airlines Inc.,3,181805365,35379724,19744574,48979198,104103496,285908861,182280559,104264171,286544730,330993694,65177657,36092606,94494528,195764791,526758485,331867432,196062834,527930266,2019
1,20453,ABX,ABX,ABX Air Inc,2,229897,0,0,0,0,229897,229897,0,229897,443700,0,0,0,0,443700,443700,0,443700,2019
1,19930,AS,AS,Alaska Airlines Inc.,3,55801380,0,0,1202557,1202557,57003937,55881608,1202557,57084165,114278887,0,0,2867163,2867163,117146050,114428031,2867163,117295194,2019
1,20409,B6,B6,JetBlue Airways,3,55214112,0,0,15194099,15194099,70408211,55214112,15194099,70408211,107587447,0,0,29606459,29606459,137193906,107587447,29606459,137193906,2019
1,21167,CP,CP,Compass Airlines,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,19790,DL,DL,Delta Air Lines Inc.,3,165835898,48129821,28376721,29135082,105641624,271477522,167883633,105823230,273706863,340011832,98680134,58180533,59735394,216596061,556607893,345424031,216968407,562392438,2019
1,20366,EV,EV,ExpressJet Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,20436,F9,F9,Frontier Airlines Inc.,3,19219538,0,0,2622943,2622943,21842481,19219538,2622943,21842481,33033803,0,0,4629668,4629668,37663471,33033803,4629668,37663471,2019
1,20107,FX,FX,Federal Express Corporation,3,61502329,14334224,21909780,1984964,38228968,99731297,63304927,39128919,102433846,111194000,26208000,39844000,4174000,70226000,181420000,114483000,72218000,186701000,2019
1,20368,G4,G4,Allegiant Air,3,12442727,0,0,0,0,12442727,12704100,79969,12784069,24884405,0,0,0,0,24884405,25451228,174212,25625440,2019
1,20500,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,20166,GFQ,GFQ,Gulf And Caribbean Cargo,1,0,0,0,0,0,0,209031,149862,358893,0,0,0,0,0,0,525709,384656,910365,2019
1,20402,GL,GL,Miami Air International,2,0,0,0,0,0,0,471431,148428,619859,0,0,0,0,0,0,1315825,414285,1730110,2019
1,19690,HA,HA,Hawaiian Airlines Inc.,3,15257659,0,7346463,0,7346463,22604122,15280124,7346463,22626587,27092396,0,12857142,0,12857142,39949538,27129872,12857142,39987014,2019
1,20370,KAQ,KAQ,Kalitta Air LLC,2,0,0,0,0,0,0,1444216,3970232,5414448,0,0,0,0,0,0,3030143,9034418,12064561,2019
1,21629,KD,KD,Western Global,2,0,0,0,0,0,0,1404278,1361512,2765790,0,0,0,0,0,0,2693455,1751966,4445421,2019
1,21634,KH,KH,Aloha Air Cargo,2,432202,0,0,0,0,432202,432202,0,432202,863451,0,0,0,0,863451,863451,0,863451,2019
1,20372,KLQ,KLQ,Kalitta Charters II,1,0,0,0,0,0,0,67948,124783,192731,0,0,0,0,0,0,192105,348416,540521,2019
1,20169,L2,L2,Lynden Air Cargo Airlines,1,96124,0,0,0,0,96124,174531,25265,199796,209803,0,0,0,0,209803,425821,75490,501311,2019
1,20151,M6,M6,Amerijet International,2,0,0,0,995280,995280,995280,513000,1259892,1772892,0,0,0,1985393,1985393,1985393,1023337,2513244,3536581,2019
1,20398,MQ,MQ,Envoy Air,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,20405,N8,N8,National Air Cargo Group Inc d/ba National Airlines,2,0,0,0,0,0,0,67058,730951,798009,0,0,0,0,0,0,225990,2182806,2408796,2019
1,20108,NC,NC,Northern Air Cargo Inc.,1,336228,0,0,0,0,336228,388494,0,388494,661891,0,0,0,0,661891,762275,0,762275,2019
1,20416,NK,NK,Spirit Air Lines,3,31236251,0,0,4626264,4626264,35862515,31236251,4626264,35862515,62051998,0,0,9190250,9190250,71242248,62051998,9190250,71242248,2019
1,20397,OH,OH,PSA Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,20304,OO,OO,SkyWest Airlines Inc.,3,8150037,0,0,0,0,8150037,8150037,0,8150037,17779528,0,0,0,0,17779528,17779528,0,17779528,2019
1,20177,PFQ,PFQ,Asia Pacific,1,0,0,0,0,0,0,0,330575,330575,0,0,0,0,0,0,0,640575,640575,2019
1,20100,PO,PO,Polar Air Cargo Airways,3,3095682,731689,13380503,0,14112192,17207874,3095682,14112192,17207874,5600244,1626373,22917040,0,24543413,30143657,5600244,24543413,30143657,2019
1,19687,QX,QX,Horizon Air,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,20422,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,3603825,0,0,1228302,1228302,4832127,4116225,1344257,,7127230,0,0,2630245,2630245,9757475,9034510,2861737,11896247,2019
1,20447,U7,U7,USA Jet Airlines Inc.,2,0,0,0,0,0,0,467799,39870,507669,0,0,0,0,0,0,860549,167956,1028505,2019
1,19977,UA,UA,United Air Lines Inc.,3,127590604,53538012,55192482,32518620,141249114,268839718,128594032,141518914,270112946,234726719,98041019,102255125,63335233,263631377,498358096,236590640,264119815,500710455,2019
1,20195,WI,WI,Sky Lease Cargo,2,0,0,0,0,0,0,0,1329432,1329432,0,0,0,0,0,0,0,2664398,2664398,2019
1,20310,WL,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0,0,0,0,0,0,47941,0,47941,0,0,0,0,0,0,141256,0,141256,2019
1,20377,X9,X9,Omni Air International LLC,2,0,0,0,0,0,0,431442,3654782,4086224,0,0,0,0,0,0,905436,10495937,11401373,2019
1,20207,XP,XP,XTRA Airways,1,0,0,0,0,0,0,2501,0,2501,0,0,0,0,0,0,8341,0,8341,2019
1,20378,YV,YV,Mesa Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,20452,YX,YX,Republic Airline,3,20121,0,0,0,0,20121,20121,0,20121,43183,0,0,0,0,43183,43183,0,43183,2019
1,19393,WN,WN,Southwest Airlines Co.,3,162877133,0,0,1789759,1789759,164666892,163091949,1789759,164881708,311257985,0,0,4071037,4071037,315329022,311660539,4071037,315731576,2019
2,21161,09Q,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,0,0,0,0,0,0,473629,703692,1177321,0,0,0,0,0,0,1719142,1330481,3049623,2019
2,21352,0WQ,0WQ,Avjet Corporation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,21492,1BQ,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,0,0,0,0,0,0,10306,10838,21144,0,0,0,0,0,0,28651,30130,58781,2019
2,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,21712,2HQ,2HQ,Elite Airways LLC,1,56789,0,0,0,0,56789,380855,0,380855,166382,0,0,0,0,166382,1485395,0,1485395,2019
2,21974,3EQ,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,232268,0,0,0,0,232268,274605,0,274605,636845,0,0,0,0,636845,752926,0,752926,2019
2,19917,5X,5X,United Parcel Service,3,37155000,10576000,10951000,2930000,24457000,61612000,37155000,24457000,61612000,72268000,20252000,20399000,6093000,46744000,119012000,72268000,46744000,119012000,2019
2,20007,5Y,5Y,Atlas Air Inc.,3,0,0,0,0,0,0,5925931,31971559,37897490,0,0,0,0,0,0,13017193,65417799,78434992,2019
2,19874,8C,8C,Air Transport International,2,0,0,0,0,0,0,10945,668700,679645,0,0,0,0,0,0,31288,1749284,1780572,2019
2,20363,9E,9E,Endeavor Air Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,20190,9S,9S,Southern Air Inc.,2,766074,2306492,3084112,2433,5393037,6159111,766074,5393037,6159111,1630575,4868978,6396131,4423,11269532,12900107,1630575,11269532,12900107,2019
2,19805,AA,AA,American Airlines Inc.,3,171404503,30958800,17322712,44034884,92316396,263720899,171809048,92477489,264286537,327026752,59435663,32573780,86843048,178852491,505879243,327810856,179178991,506989847,2019
2,20453,ABX,ABX,ABX Air Inc,2,147714,0,0,0,0,147714,147714,0,147714,0,0,0,0,0,0,0,0,0,2019
2,19930,AS,AS,Alaska Airlines Inc.,3,50051046,0,0,1189785,1189785,51240831,50121660,1189785,51311445,107264474,0,0,3017190,3017190,110281664,107399929,3017190,110417119,2019
2,20409,B6,B6,JetBlue Airways,3,52642699,0,0,13782584,13782584,66425283,52645386,13782584,66427970,108554374,0,0,28421031,28421031,136975405,108559925,28421031,136980956,2019
2,21167,CP,CP,Compass Airlines,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,19790,DL,DL,Delta Air Lines Inc.,3,152322966,42273867,24710323,26290073,93274263,245597229,154407088,93667362,248074450,313961048,87132937,50931775,54187883,192252595,506213643,319361813,193062831,512424644,2019
2,20436,F9,F9,Frontier Airlines Inc.,3,17536368,0,0,2546226,2546226,20082594,17536368,2546226,20082594,34472192,0,0,4986355,4986355,39458547,34472192,4986355,39458547,2019
2,20107,FX,FX,Federal Express Corporation,3,55621824,13088387,18142095,1814495,33044977,88666801,57413610,33859713,91273323,107603000,25317000,34071000,4001000,63389000,170992000,111096633,65173000,176269633,2019
2,20368,G4,G4,Allegiant Air,3,13512627,0,0,0,0,13512627,13869284,121194,13990478,29175127,0,0,0,0,29175127,30035295,292448,30327743,2019
2,20500,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,20166,GFQ,GFQ,Gulf And Caribbean Cargo,1,0,0,0,0,0,0,243903,82869,326772,0,0,0,0,0,0,635761,229579,865340,2019
2,20402,GL,GL,Miami Air International,2,0,0,0,0,0,0,480858,242533,723391,0,0,0,0,0,0,1399624,705936,2105560,2019
2,19690,HA,HA,Hawaiian Airlines Inc.,3,13532765,0,6418283,0,6418283,19951048,13532765,6418283,19951048,25862219,0,11806211,0,11806211,37668430,25862219,11806211,37668430,2019
2,20370,KAQ,KAQ,Kalitta Air LLC,2,0,0,0,0,0,0,1728042,3983371,5711413,0,0,0,0,0,0,3866084,9664349,13530433,2019
2,21629,KD,KD,Western Global,2,0,0,0,0,0,0,1579656,682988,2262644,0,0,0,0,0,0,3364687,1439034,4803721,2019
2,21634,KH,KH,Aloha Air Cargo,2,338518,0,0,0,0,338518,338518,0,338518,635575,0,0,0,0,635575,635575,0,635575,2019
2,20372,KLQ,KLQ,Kalitta Charters II,1,0,0,0,0,0,0,182000,33582,215582,0,0,0,0,0,0,461211,91078,552289,2019
